Date ,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
7-Sep-21,3864,3869.95,3808.25,3823.85,3815.9,97123,6078043782
6-Sep-21,3849.7,3877.6,3814,3847.9,3852,111169,6623670539
3-Sep-21,3825,3856.9,3804.55,3835,3842.05,110739,6690825623
2-Sep-21,3734,3859.15,3722,3827.9,3836.75,147951,12927723346
1-Sep-21,3796,3816.7,3707,3715,3714.95,159880,9891548399
31-Aug-21,3709.4,3804.1,3703.45,3797.9,3786.45,118247,12071111288
30-Aug-21,3715,3740.35,3687.6,3709,3701.3,120886,7558326822
27-Aug-21,3666,3729.5,3651.1,3715,3720.15,146958,14613115001
26-Aug-21,3660,3687.6,3647.9,3655,3671.85,111272,6975627266
25-Aug-21,3610,3697.75,3607.05,3665,3659,132939,7786317794
24-Aug-21,3657,3667.35,3594.4,3615.05,3613.2,140873,9106741534
23-Aug-21,3580,3673,3561.9,3635,3637.4,182578,13617518913
20-Aug-21,3506,3575,3500,3551.6,3559.5,146932,10078573269
18-Aug-21,3573.85,3595,3536.6,3559.8,3560.55,190233,9378550368
17-Aug-21,3482.1,3560.8,3463,3548,3553.05,189016,15277648942
16-Aug-21,3460,3494.35,3436.5,3464.75,3472.95,120736,7230549749
13-Aug-21,3360.75,3480,3357.5,3456.05,3463.4,217264,15006082710
12-Aug-21,3326,3368,3326,3347,3351.75,84190,4394255744
11-Aug-21,3350,3360,3327.1,3348,3344.2,104272,6454161674
10-Aug-21,3315.6,3349.9,3315.6,3330.5,3333.9,100513,6804914788
9-Aug-21,3323.9,3337,3310,3321,3322.7,96243,5020566711
6-Aug-21,3272.55,3324,3265,3311,3309.8,102596,7563309162
5-Aug-21,3275,3315,3262.5,3282.15,3283.95,101103,8342597223
4-Aug-21,3300,3305.2,3261.2,3275,3273.95,97356,9611565427
3-Aug-21,3229,3290,3218.95,3278.5,3284.9,169947,12425311115
2-Aug-21,3180,3224.9,3167,3220,3219.4,112175,8346453823
30-Jul-21,3219,3223.5,3162.35,3167.7,3167.45,140915,9574588336
29-Jul-21,3200.25,3225.45,3190.3,3194,3195.8,123060,5555484673
28-Jul-21,3188,3204.45,3132.4,3199.9,3197.8,113534,5263594036
27-Jul-21,3200,3210,3161.15,3187.95,3182.95,79117,3571616645
26-Jul-21,3200,3224.25,3190.85,3200.35,3197.55,87600,4037709192
23-Jul-21,3230,3241.55,3206.65,3210,3212.85,100269,5729596472
22-Jul-21,3190,3224.95,3190,3214.7,3216.35,121867,9184601701
20-Jul-21,3184.6,3215,3156.15,3203.85,3205.8,132943,5775540904
19-Jul-21,3180,3199.8,3176,3184.9,3184.6,78047,5087041969
16-Jul-21,3213,3219.85,3192,3194.5,3194.8,90365,4023879475
15-Jul-21,3227.6,3231.85,3194,3201.9,3202.95,134474,7161160396
14-Jul-21,3187,3222,3185,3214.4,3214.55,121236,6557620557
13-Jul-21,3214,3214,3175,3190.4,3187.55,119046,5776498374
12-Jul-21,3235,3236,3188.35,3198.4,3193.1,136133,6079523669
9-Jul-21,3250,3282,3201,3211.8,3208.15,321370,20574274921
8-Jul-21,3298,3298,3231.9,3253,3258.5,159147,8114642972
7-Jul-21,3275,3282.7,3241.6,3275.85,3274.95,119862,8621356119
6-Jul-21,3313,3328,3256.1,3273.65,3262.3,142732,7094262857
5-Jul-21,3342,3374,3302,3328,3321,113655,6593560507
2-Jul-21,3331,3339.7,3295.2,3329,3325.45,124870,5571406775
1-Jul-21,3358,3362,3332.35,3338,3341.5,63177,3311427479
30-Jun-21,3346,3382,3338.5,3351,3345.75,101344,5683548099
29-Jun-21,3342,3366.3,3326.5,3335.25,3340.85,97261,5007216161
28-Jun-21,3391.5,3391.5,3333,3342,3336.75,80472,4534249770
25-Jun-21,3375.25,3399.65,3350,3371,3380.8,112139,9195412963
24-Jun-21,3284,3383,3278.5,3370,3373.6,191883,13897853675
